Filepath,Filename,MassIVE,Taxaname_file,Taxa_NCBI,ReDU_Availability,Blank,QC,USI_full,file_usi
MSV000078770/ccms_peak/VERN_TOMEM-1408_MS2/VERN_TOMEM-1408_MS2-NEG_1-3_01_1199.mzXML,MSV000078770/VERN_TOMEM-1408_MS2-NEG_1-3_01_1199.mzXML,MSV000078770,Vernonia,13753,Yes,No,No,mzspec:MSV000078770:ccms_peak/VERN_TOMEM-1408_MS2/VERN_TOMEM-1408_MS2-NEG_1-3_01_1199.mzXML,mzspec:MSV000078770:VERN_TOMEM-1408_MS2-NEG_1-3_01_1199
MSV000078770/ccms_peak/VERN_TOMEM-1408_MS2/VERN_TOMEM-1408_MS2-POS_1-3_01_1196.mzXML,MSV000078770/VERN_TOMEM-1408_MS2-POS_1-3_01_1196.mzXML,MSV000078770,Vernonia,13753,Yes,No,No,mzspec:MSV000078770:ccms_peak/VERN_TOMEM-1408_MS2/VERN_TOMEM-1408_MS2-POS_1-3_01_1196.mzXML,mzspec:MSV000078770:VERN_TOMEM-1408_MS2-POS_1-3_01_1196
MSV000078880/ccms_peak/1-ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,MSV000078880/1-ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,MSV000078880,Acanthospermum hispidum,182999,Yes,No,No,mzspec:MSV000078880:ccms_peak/1-ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,mzspec:MSV000078880:1-ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865
MSV000078881/ccms_peak/7-TEOBROMA CACAO_MS2_1-2_01_1863.mzXML,MSV000078881/7-TEOBROMA CACAO_MS2_1-2_01_1863.mzXML,MSV000078881,Theobroma cacao,3641,Yes,No,No,mzspec:MSV000078881:ccms_peak/7-TEOBROMA CACAO_MS2_1-2_01_1863.mzXML,mzspec:MSV000078881:7-TEOBROMA CACAO_MS2_1-2_01_1863
MSV000078883/ccms_peak/1-ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,MSV000078883/1-ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,MSV000078883,Acanthospermum hispidum,182999,Yes,No,No,mzspec:MSV000078883:ccms_peak/1-ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,mzspec:MSV000078883:1-ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865
MSV000078889/ccms_peak/plant_extracts/ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,MSV000078889/ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,MSV000078889,Acanthospermum hispidum,182999,Yes,No,No,mzspec:MSV000078889:ccms_peak/plant_extracts/ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865.mzXML,mzspec:MSV000078889:ACANTHUSPERMUM HISPIDUM_MS2_1-4_01_1865
MSV000078889/ccms_peak/plant_extracts/AGERATUM FASTIGIATUM_MS2_1-6_01_1867.mzXML,MSV000078889/AGERATUM FASTIGIATUM_MS2_1-6_01_1867.mzXML,MSV000078889,Ageratum fastigiatum,1745183,Yes,No,No,mzspec:MSV000078889:ccms_peak/plant_extracts/AGERATUM FASTIGIATUM_MS2_1-6_01_1867.mzXML,mzspec:MSV000078889:AGERATUM FASTIGIATUM_MS2_1-6_01_1867
MSV000078889/ccms_peak/plant_extracts/BIDENS GARDNERI_MS2_1-3_01_1864.mzXML,MSV000078889/BIDENS GARDNERI_MS2_1-3_01_1864.mzXML,MSV000078889,Bidens,42336,Yes,No,No,mzspec:MSV000078889:ccms_peak/plant_extracts/BIDENS GARDNERI_MS2_1-3_01_1864.mzXML,mzspec:MSV000078889:BIDENS GARDNERI_MS2_1-3_01_1864
MSV000078889/ccms_peak/plant_extracts/TEOBROMA CACAO_MS2_1-2_01_1863.mzXML,MSV000078889/TEOBROMA CACAO_MS2_1-2_01_1863.mzXML,MSV000078889,Theobroma cacao,3641,Yes,No,No,mzspec:MSV000078889:ccms_peak/plant_extracts/TEOBROMA CACAO_MS2_1-2_01_1863.mzXML,mzspec:MSV000078889:TEOBROMA CACAO_MS2_1-2_01_1863
MSV000078889/ccms_peak/plant_extracts/VERNONIA SPORPIOIDES_MS2_1-9_01_1870.mzXML,MSV000078889/VERNONIA SPORPIOIDES_MS2_1-9_01_1870.mzXML,MSV000078889,Vernonia,13753,Yes,No,No,mzspec:MSV000078889:ccms_peak/plant_extracts/VERNONIA SPORPIOIDES_MS2_1-9_01_1870.mzXML,mzspec:MSV000078889:VERNONIA SPORPIOIDES_MS2_1-9_01_1870
